source,target,dist
Q734532,Q873835,35.803616205099715
Q838366,Q242783,1719.483952987347
Q747362,Q271917,951.0170418832441
Q836836,Q385684,294.4997389246671
Q823988,Q386052,560.8129307127497
Q820496,Q386661,237.69665466935047
Q823489,Q428989,492.1402270027796
Q820496,Q495809,249.10120600277034
Q750587,Q496472,391.2578186365705
Q753864,Q502205,996.2984798834158
Q765884,Q502981,82.58949433976476
Q823907,Q511872,309.81310244888124
Q823927,Q511872,71.43048852328813
Q821337,Q518203,456.6075311184772
Q816736,Q596486,242.55373548974208
Q820496,Q596486,223.88085522174237
Q770187,Q622594,347.9209875724004
Q770187,Q642018,54.60637648177586
Q823526,Q642018,662.3912014158191
Q817278,Q653372,1219.7762107083277
Q823896,Q693221,749.3973308819391
Q823896,Q694893,236.21377407929577
Q836836,Q696394,59.45440986600482
Q823489,Q734390,304.58787072282047
Q820725,Q734416,663.1359496437242
Q820496,Q734432,136.35344843270403
Q823874,Q750587,153.12525683380366
Q820496,Q816736,20.861246588403628
Q825166,Q841125,118.2682922561788
Q820496,Q847565,259.07990694657593
Q823886,Q850461,205.11521959493416
Q821337,Q857272,151.78208507518417
Q750587,Q860659,128.82879517512367
Q820496,Q873835,209.30374292622298
Q817965,Q990371,173.04073611136894
Q766942,Q1023781,1108.1610879227296
Q16572,Q428989,3345.361930033476
Q12439,Q201117,10485.734672729148
Q16556,Q209801,9724.719807688136
Q16554,Q622594,9447.237721546182
Q16739,Q26410,9111.727357301146
Q17042,Q26600,9094.514287746086
Q16552,Q38283,9003.691772236822
Q495373,Q31238,8991.042620046626
Q26418,Q146790,105.18899241539414
Q20714,Q200740,1481.2660910604443
Q2843,Q164234,8936.67594942975
Q4051,Q653446,9497.018917031326
Q16553,Q200078,8828.400145109807
Q31094,Q210661,1055.8317152531317
Q667738,Q273798,8227.694909258962
Q42056,Q647079,926.8221190905942
Q485176,Q653478,8910.779042716747
Q576395,Q823988,10747.520303794648
Q488702,Q840595,7879.88326495731
Q359990,Q200251,1443.3693151105274
Q365,Q34600,9227.914373080304
Q23556,Q26600,11692.108504374064
Q1492,Q16520,9926.76898714251
Q3561,Q20921,10064.454095916453
Q7903,Q16520,11138.564902563068
Q959,Q16520,914.8530848188501
Q959,Q20934,769.139848390411
Q35493,Q20927,4434.367461145151
Q25286,Q20921,7552.678446710781
Q3838,Q20934,12175.930815979937
Q1156,Q16520,5762.877973620599
Q1348,Q20934,4005.457585041614
Q37100,Q16520,9296.612183135461
Q384796,Q20921,478.9711099294379
Q378225,Q41278,228.29134643848428
Q1345,Q20934,11123.712725615303
Q124739,Q16520,9811.057958886355
Q1335,Q41278,19511.24843462661
Q30002,Q20927,2346.9776746936923
Q38283,Q16520,958.0904871276741
Q38283,Q20934,1181.7268755537186
Q340,Q16520,10758.936125973361
Q406,Q16520,8267.448479751616
Q65,Q16520,9615.601894687852
Q459,Q20927,8402.763818183152
Q612,Q16520,7015.34563171272
Q273798,Q20934,1233.1711422582928
Q48320,Q20934,827.309332418453
Q1461,Q16520,2427.7517537494955
Q1461,Q20934,2603.7668105889343
Q1854,Q16520,3532.1554477801747
Q1861,Q16520,3720.6133667669997
Q42780,Q20927,936.6763473741211
Q887,Q20934,5195.260894543538
Q656,Q16520,7130.558288877674
Q883,Q20921,3936.347263984641
Q656,Q20927,7042.784971752224
Q656,Q20934,6798.4910452242075
Q57906,Q20927,927.6033938087969
Q976,Q41278,4036.6729705030434
Q975,Q41283,11400.493835549469
Q1352,Q41278,5490.378434761355
Q713310,Q41278,1485.718053359503
Q72818,Q20934,2671.9779729370985
Q74881,Q20934,469.1974202861082
Q8686,Q16520,832.320872212765
Q6106,Q41278,8473.388496295276
Q3306,Q20934,14177.086703033041
Q9022,Q20921,11733.858668468321
Q140631,Q41283,1503.410641655556
Q17151,Q16520,8706.203377543274
Q18094,Q20934,7342.439206594697
Q165204,Q20934,12490.149148190985
Q5540,Q16520,6583.959995181354
Q5468,Q20921,12439.139096899264
Q170322,Q20927,738.1496389853468
Q11720,Q20921,695.6854945131889
Q26600,Q16520,214.6551469405768
Q16666,Q20921,923.4483194256334
Q34664,Q20927,387.4372119115339
